Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
516;0.03331;0.17;0.490725;0.451236;0.432244;0.396668;0.349693;0.291560;0.223123;0.158982;0.102127;0.064745
675.5;0.026283;0.69;0.832016;0.769357;0.721420;0.640185;0.548943;0.455026;0.351997;0.257521;0.177515;0.122453
344.7;0.04151;0.14;0.272240;0.247204;0.235998;0.213523;0.184600;0.146487;0.108452;0.072921;0.045826;0.027603
1112.4;0.021515;0.71;1.403116;1.309356;1.231034;1.106171;0.959736;0.781891;0.608345;0.443839;0.318215;0.222351
1150.3;0.038994;0.47;1.009598;0.915112;0.862231;0.770755;0.667454;0.553162;0.432346;0.325506;0.226940;0.153556
741.8;0.040158;0.14;0.571078;0.524695;0.507220;0.468943;0.420580;0.353383;0.268722;0.191665;0.122611;0.075047
740.3;0.039994;0.77;0.979885;0.887035;0.820140;0.708118;0.579098;0.448223;0.322544;0.224567;0.147538;0.096095
603.9;0.032421;0.23;0.571637;0.524499;0.502351;0.459932;0.412727;0.348331;0.273068;0.196950;0.131600;0.084094
1110;0.011771;0.19;0.638938;0.620029;0.608407;0.586082;0.553935;0.505044;0.442928;0.383212;0.330265;0.285561
632.3;0.035691;0.32;0.560036;0.513483;0.491725;0.451230;0.405015;0.340789;0.267673;0.192426;0.127594;0.081235
892;0.045472;0.14;0.595392;0.539975;0.523242;0.487255;0.443054;0.370844;0.285461;0.199752;0.127577;0.077975
431.9;0.059631;0.49;0.282267;0.253109;0.241552;0.218692;0.188573;0.152645;0.110430;0.074558;0.044724;0.026910
959.3;0.014611;0.57;0.829141;0.795144;0.763960;0.709301;0.638228;0.551207;0.454936;0.361307;0.280937;0.223716
1274.3;0.057677;0.28;0.655529;0.589505;0.569572;0.532108;0.486333;0.412432;0.328085;0.234088;0.148571;0.090615
1279.8;0.01814;0.36;1.011545;0.957325;0.922151;0.867028;0.795091;0.700828;0.590249;0.486686;0.383311;0.293846
1193.9;0.058523;0.53;0.815675;0.719771;0.675887;0.601469;0.519824;0.425665;0.329045;0.240247;0.160330;0.101060
347;0.03985;0.92;0.530259;0.476656;0.434433;0.367040;0.298533;0.224710;0.156284;0.103985;0.065141;0.039956
396.3;0.022011;0.28;0.440810;0.412387;0.396129;0.365683;0.326891;0.275544;0.218830;0.163821;0.115771;0.080021
747.4;0.013515;0.63;0.606800;0.585094;0.563033;0.523681;0.472562;0.411131;0.340009;0.272080;0.214768;0.173993
1043.2;0.025002;0.05;0.824848;0.780991;0.769786;0.740797;0.700373;0.630290;0.529949;0.412445;0.304339;0.216041
1216.2;0.050677;0.74;1.363472;1.199374;1.115353;0.975289;0.818243;0.626348;0.447723;0.308207;0.202931;0.132295
870.7;0.013835;0.19;0.640288;0.618062;0.602665;0.574915;0.535776;0.479011;0.419755;0.355589;0.287709;0.233118
1448;0.027724;0.5;1.448806;1.334546;1.264683;1.141867;0.990531;0.819536;0.660214;0.498780;0.356916;0.252661
1305.7;0.016601;0.58;1.249240;1.186771;1.131990;1.042922;0.926334;0.784549;0.639081;0.496751;0.372376;0.288313
1656.1;0.017909;0.24;1.035200;0.988970;0.960919;0.916261;0.860417;0.780432;0.681286;0.577813;0.476350;0.381102
1043.9;0.013107;0.48;0.761191;0.737111;0.714058;0.672521;0.616028;0.541259;0.457825;0.372396;0.298212;0.247000
347;0.03985;0.92;0.530259;0.476656;0.434433;0.367040;0.298533;0.224710;0.156284;0.103985;0.065141;0.039956
396.3;0.022011;0.28;0.440810;0.412387;0.396129;0.365683;0.326891;0.275544;0.218830;0.163821;0.115771;0.080021
1440.6;0.059171;0.73;1.374981;1.220875;1.144888;1.001409;0.833619;0.639538;0.462120;0.315816;0.207305;0.136327
1568.1;0.054815;0.27;0.806870;0.721630;0.695439;0.644747;0.587650;0.510120;0.410646;0.309032;0.206837;0.129728
