Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
1178.3;0.030075;0.12;0.846967;0.798536;0.785438;0.751361;0.705572;0.630017;0.521662;0.408405;0.294690;0.201709
330.3;0.033119;0.96;0.512785;0.473208;0.438810;0.381272;0.312788;0.235553;0.168040;0.109809;0.068416;0.041695
1574.8;0.045364;0.76;1.848253;1.675535;1.580389;1.401043;1.189181;0.923812;0.675701;0.452142;0.293697;0.191287
1344.2;0.010719;0.32;0.675429;0.658214;0.643597;0.619097;0.584448;0.533873;0.471442;0.404620;0.344498;0.304677
1438.4;0.013732;0.72;1.343458;1.297022;1.235672;1.132923;1.000875;0.842036;0.685400;0.528005;0.400684;0.310219
836.6;0.039553;0.8;1.157127;1.055837;0.982079;0.855941;0.705667;0.534027;0.386592;0.261179;0.170060;0.110642
1164.2;0.0323;0.41;1.006901;0.930443;0.888631;0.814175;0.724933;0.613688;0.492622;0.372455;0.267177;0.184122
1105.7;0.056331;0.44;0.676957;0.606467;0.579287;0.527439;0.469479;0.392857;0.309584;0.222379;0.145927;0.090045
1042.1;0.014745;0.57;0.905195;0.869295;0.835032;0.774332;0.696133;0.597729;0.494439;0.391667;0.301842;0.240391
685.1;0.028771;0.75;0.929012;0.850831;0.789828;0.691817;0.584711;0.471780;0.353474;0.252706;0.169643;0.115394
648.1;0.0373;0.61;0.671356;0.607645;0.569422;0.505250;0.437090;0.353549;0.273685;0.199968;0.135350;0.087807
932.3;0.015584;0.32;0.734197;0.702065;0.684155;0.648430;0.599978;0.533382;0.453609;0.378892;0.300101;0.234514
618.8;0.055223;0.79;0.691423;0.611705;0.558857;0.473857;0.386600;0.295261;0.211366;0.145330;0.093255;0.058018
1426.2;0.041664;0.75;1.747408;1.583687;1.493017;1.328275;1.126762;0.877141;0.635618;0.431502;0.281593;0.183655
1680.5;0.055271;0.25;0.833506;0.743882;0.717545;0.666070;0.609109;0.530372;0.430149;0.325745;0.218800;0.137686
342;0.041528;0.5;0.307982;0.281948;0.268827;0.243603;0.211661;0.172082;0.129873;0.090284;0.056992;0.035131
1049.9;0.010711;0.15;0.561452;0.545555;0.534710;0.515541;0.485925;0.444199;0.391180;0.347262;0.303548;0.268264
421.9;0.025824;0.14;0.464216;0.429488;0.409177;0.372231;0.331354;0.278426;0.217387;0.158675;0.107454;0.070157
1422.9;0.015594;0.65;1.406068;1.331252;1.265425;1.153920;1.028642;0.873858;0.698782;0.541026;0.404267;0.305570
1684.8;0.041473;0.08;0.891030;0.812338;0.797669;0.761581;0.716930;0.645604;0.548958;0.432049;0.301846;0.200599
393.7;0.013035;0.21;0.306559;0.294437;0.287260;0.272078;0.250980;0.221648;0.186956;0.152208;0.120499;0.098418
325.4;0.033872;0.59;0.334953;0.305579;0.288395;0.261750;0.229741;0.190067;0.147120;0.105735;0.069802;0.045320
1257.4;0.025277;0.67;1.558211;1.449551;1.369956;1.224934;1.053967;0.857554;0.650993;0.482963;0.333025;0.229425
796.3;0.053225;0.32;0.495855;0.448989;0.433319;0.400350;0.356567;0.297732;0.225008;0.156848;0.097905;0.057598
1659.8;0.026679;0.02;0.889078;0.844948;0.846439;0.838362;0.824653;0.782471;0.702184;0.586667;0.449074;0.334635
785;0.016771;0.9;0.960031;0.909035;0.862944;0.784705;0.682557;0.558467;0.437312;0.323610;0.229453;0.163275
1541.2;0.048273;0.1;0.782239;0.706567;0.693511;0.662442;0.622484;0.549071;0.451771;0.337049;0.222268;0.141754
936.6;0.025931;0.85;1.407889;1.308936;1.229233;1.092874;0.932692;0.748631;0.549341;0.388444;0.252935;0.167007
604.8;0.020004;0.85;0.787610;0.741416;0.698524;0.626692;0.538531;0.440529;0.338806;0.246674;0.172678;0.120104
475.9;0.01345;0.66;0.350392;0.337891;0.327117;0.307298;0.280860;0.247218;0.207119;0.170242;0.136175;0.110336
732.5;0.037596;0.55;0.710006;0.642871;0.605305;0.542144;0.472579;0.386355;0.302125;0.222681;0.151419;0.098384
1316.5;0.030191;0.45;1.224467;1.121257;1.059218;0.956549;0.846817;0.717560;0.572460;0.434718;0.310590;0.220128
1396;0.047506;0.33;0.878614;0.794681;0.757898;0.689129;0.616148;0.528517;0.428914;0.322094;0.221476;0.144939
1271.3;0.034359;0.1;0.856177;0.789254;0.774161;0.738834;0.692475;0.612558;0.510945;0.395192;0.279740;0.188382
313.7;0.029239;0.33;0.330957;0.306000;0.292209;0.266492;0.233793;0.194176;0.149613;0.107539;0.070722;0.046158
1480.5;0.01307;0.83;1.364429;1.323550;1.264442;1.172746;1.040695;0.878350;0.706016;0.551121;0.414385;0.319942
1591.3;0.020685;0.09;0.901898;0.856376;0.845985;0.820634;0.786747;0.744957;0.684421;0.593820;0.478296;0.368860
1379.3;0.037194;0.15;0.872929;0.803830;0.785050;0.743254;0.693319;0.609660;0.510307;0.396750;0.279049;0.188173
359.7;0.030532;0.29;0.370465;0.343503;0.328610;0.299258;0.262598;0.217725;0.167034;0.119461;0.077743;0.050125
829.5;0.055048;0.81;0.985947;0.877418;0.811851;0.697673;0.565385;0.425232;0.300352;0.202280;0.128275;0.081079
1286.1;0.012814;0.55;0.965980;0.929053;0.892535;0.828567;0.749280;0.655800;0.546150;0.442384;0.349726;0.283718
1321.3;0.032175;0.32;1.015152;0.941868;0.906068;0.840979;0.762208;0.659365;0.540005;0.415534;0.301675;0.210976
614;0.036891;0.77;0.813731;0.739244;0.683875;0.592082;0.487209;0.380329;0.277573;0.195035;0.129205;0.084804
676.7;0.016703;0.86;0.795155;0.751924;0.711254;0.643879;0.557633;0.462014;0.360497;0.271156;0.192663;0.141645
